"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Dinamarca","DNK","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","0.5","","","0","","","","","0","","","0.2","0.2","0.1","0","0","0.1","0.1","0","0","0","0.3","0.1","0.1","0.2","0.1","0.1","0.2","","",
"República Dominicana","DOM","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","","","3.6","","","1.6","","","","1.9","2.1","","","1.9","1.2","2","2.3","2.8","1.8","1.3","1.3","1.1","0.9","0.6","0.7","0.7","0.5","0.5","0.5","0.5","0.3","0.1","0.2","0.3","",
"Argelia","DZA","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","","","","","","","1.1","","","","","","","","","","","","","","","","0.2","","","","","","","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"inicial del dividendo demográfico","EAR","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia oriental y el Pacífico","EAS","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","37.9","35","31.6","26.9","24.5","23.1","21.3","18.6","23.6","22.1","21.3","20.2","18.9","16.4","14.3","12.5","12.7","13.5","12","10.8","10.1","8.9","7.5","6.2","4.7","4.6","4","3.7","3.1","2.4","1.7","1.4","0.6","0.5","0.4","0.3","0.3","0.2","0.2","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central","ECS","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.9","1.2","1.5","2","2.1","2.2","2.1","2","2.4","2.3","1.9","1.6","1.8","1.4","1.4","1.2","0.9","0.8","0.7","0.7","0.6","0.5","0.4","0.6","0.4","0.4","0.4","0.3","0.3","","",
"Ecuador","ECU","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","","","","","9.8","11.7","","","5.8","6.2","4.5","2.9","3.2","2.9","2.6","1.9","1.8","1.5","1","0.8","1.2","1.3","1.1","1","1.1","2.1","",
"Egipto, República Árabe de","EGY","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","0.8","","","","0.4","","","","","0.8","","","","0.7","","0.3","","0.2","","","0.2","","0.6","","","","",
"Zona del Euro","EMU","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"España","ESP","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","0.3","","","","","0","","","","","0.3","","","","","0.8","","","","","0.2","","","0.6","0.6","0.6","0.6","0.3","0.4","0.6","0.5","0.9","0.6","0.8","0.5","0.6","0.7","0.5","0.6","0.6","","",
"Estonia","EST","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","0.5","0.3","0.4","0.3","0.2","0.2","0.4","0.5","0.4","0.6","0.5","0.4","0.3","0.2","0.2","0.3","","",
"Etiopía","ETH","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8","","","","17.4","","","","","9.2","","","","","","9.8","","","","","8.9","","","","","","",
"Unión Europea","EUU","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Frágiles y situaciones de conflicto afectados","FCS","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1","29.5","29.2","28.3","27.9","27.1","26.4","","24.2","23","22","20.1","19","18","17.1","16.1","15.8","14.5","14","13.6","13.1","12.5","13","13.1","13","13","","","",
